super_opeid,name,czname,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,opeid,opeid_name,superopeid_name
2665,Vaughn College Of Aeronautics And Technology,New York,0.4484354257583618,0.017666298896074295,0.16357974708080292,0.006444291677325964,2665,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY
7273,CUNY Bernard M. Baruch College,New York,0.468242347240448,0.025568271055817604,0.12938585877418518,0.007065086625516415,7273,CUNY BERNARD M. BARUCH COLLEGE,CUNY BERNARD M. BARUCH COLLEGE
2688,City College Of New York - CUNY,New York,0.36021557450294495,0.014087214134633541,0.11723747104406357,0.004584891721606255,2688,CITY COLLEGE OF NEW YORK - CUNY,CITY COLLEGE OF NEW YORK - CUNY
7022,CUNY Lehman College,New York,0.2788296639919281,0.001896349829621613,0.10235137492418289,6.961024482734501e-4,7022,CUNY LEHMAN COLLEGE,CUNY LEHMAN COLLEGE
1140,"California State University, Los Angeles",Los Angeles,0.299498051404953,8.361997897736728e-4,0.099184550344944,2.769236743915826e-4,1140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES","CALIFORNIA STATE UNIVERSITY, LOS ANGELES"
2693,CUNY John Jay College Of Criminal Justice,New York,0.35684138536453247,0.0030840749386698008,0.0969143807888031,8.376024197787046e-4,2693,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE
2165,MCPHS University,Boston,0.9129356145858765,0.09417598694562912,0.09343507140874863,0.009638511575758457,2165,MCPHS UNIVERSITY,MCPHS UNIVERSITY
2791,Pace University,New York,0.5557559132575989,0.027615388855338097,0.08432646840810776,0.004190163686871529,2791,PACE UNIVERSITY,PACE UNIVERSITY
2838,State University Of New York At Stony Brook,New York,0.5124529600143433,0.019444994628429413,0.08412747830152512,0.0031922117341309786,2838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,STATE UNIVERSITY OF NEW YORK AT STONY BROOK
2696,New York City College Of Technology Of The City University Of New,New York,0.23638398945331573,0.0019894305150955915,0.08334075659513474,7.01403827406466e-4,2696,NEW YORK CITY COLLEGE OF TECHNOLOGY OF THE CITY UNIVERSITY OF NEW,NEW YORK CITY COLLEGE OF TECHNOLOGY OF THE CITY UNIVERSITY OF NEW
21662,ITI Technical College,Baton Rouge,0.4016365110874176,0.0014645728515461087,0.08136096596717834,2.966838364955038e-4,21662,ITI TECHNICAL COLLEGE,ITI TECHNICAL COLLEGE
9651,Texas A&M International University,Laredo,0.2535727322101593,6.767010927433148e-5,0.08087395876646042,2.1582563931588084e-5,9651,TEXAS A&M INTERNATIONAL UNIVERSITY,TEXAS A&M INTERNATIONAL UNIVERSITY
2687,CUNY Brooklyn College,New York,0.34696298837661743,0.007129193749278784,0.08065849542617798,0.0016573239117860794,2687,CUNY BROOKLYN COLLEGE,CUNY BROOKLYN COLLEGE
11031,Technical Career Institutes,New York,0.19843748211860657,0.0014313269639387727,0.07997506856918335,5.768591654486954e-4,11031,TECHNICAL CAREER INSTITUTES,TECHNICAL CAREER INSTITUTES
3599,University Of Texas - Pan American,Brownsville,0.19763009250164032,0.006495506968349218,0.07648798823356628,0.0025139302015304565,3599,UNIVERSITY OF TEXAS - PAN AMERICAN,UNIVERSITY OF TEXAS - PAN AMERICAN
2689,CUNY Hunter College,New York,0.35636645555496216,0.008472826331853867,0.07542002201080322,0.0017931562615558505,2689,CUNY HUNTER COLLEGE,CUNY HUNTER COLLEGE
25964,Crimson Technical College,Los Angeles,0.3004882335662842,8.228938677348197e-4,0.07522288709878922,2.0599958952516317e-4,25964,CRIMSON TECHNICAL COLLEGE,CRIMSON TECHNICAL COLLEGE
7405,Wood Tobe - Coburn School,New York,0.17706722021102905,1.6651678015477955e-4,0.07315101474523544,6.879235297674313e-5,7405,WOOD TOBE - COBURN SCHOOL,WOOD TOBE - COBURN SCHOOL
11189,United Talmudical Seminary,New York,0.1177000105381012,0.006489777937531471,0.07177049666643143,0.003957302775233984,11189,UNITED TALMUDICAL SEMINARY,UNITED TALMUDICAL SEMINARY
2690,CUNY Queens College,New York,0.35438400506973267,0.007885653525590897,0.07138265669345856,0.0015883868327364326,2690,CUNY QUEENS COLLEGE,CUNY QUEENS COLLEGE
1203,Glendale Community College,Los Angeles,0.2188597321510315,0.005674633197486401,0.07082128524780273,0.0018362666014581919,1203,GLENDALE COMMUNITY COLLEGE,GLENDALE COMMUNITY COLLEGE
31034,South Texas College,Brownsville,0.13195425271987915,0.002367926761507988,0.06909216195344925,0.0012398628750815988,31034,SOUTH TEXAS COLLEGE,SOUTH TEXAS COLLEGE
1144,"California State Polytechnic University, Pomona",Los Angeles,0.4577048122882843,0.002041171072050929,0.06833405047655106,3.0474114464595914e-4,1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA","CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA"
3661,University Of Texas At El Paso,El Paso,0.2435862421989441,0.003580944612622261,0.0682075098156929,0.0010027139214798808,3661,UNIVERSITY OF TEXAS AT EL PASO,UNIVERSITY OF TEXAS AT EL PASO
4759,CUNY York College,New York,0.2224203497171402,0.0029296111315488815,0.06819506734609604,8.982318104244769e-4,4759,CUNY YORK COLLEGE,CUNY YORK COLLEGE
2823,"Saint John's University of Queens, NY",New York,0.4737946689128876,0.026542147621512413,0.06795936077833176,0.003807107685133815,2823,SAINT JOHN'S UNIVERSITY,"SAINT JOHN'S UNIVERSITY OF QUEENS, NY"
1314,"University Of California, Irvine",Los Angeles,0.5526469349861145,0.025234606117010117,0.06768214702606201,0.0030904582235962152,1314,"UNIVERSITY OF CALIFORNIA, IRVINE","UNIVERSITY OF CALIFORNIA, IRVINE"
2812,Trocaire College,Buffalo,0.2847948372364044,9.44289262406528e-4,0.067361019551754,2.2334775712806731e-4,2812,TROCAIRE COLLEGE,TROCAIRE COLLEGE
20983,"Western Technical College of El Paso, TX",El Paso,0.15413421392440796,0,0.06734403222799301,0,20983,WESTERN TECHNICAL COLLEGE,"WESTERN TECHNICAL COLLEGE OF EL PASO, TX"
3582,Laredo Community College,Laredo,0.15581795573234558,0.002938069636002183,0.06712117046117783,0.0012656222097575665,3582,LAREDO COMMUNITY COLLEGE,LAREDO COMMUNITY COLLEGE
30646,University Of Texas At Brownsville,Brownsville,0.14033643901348114,0.0030516451224684715,0.0664488896727562,0.0014449449954554439,30646,UNIVERSITY OF TEXAS AT BROWNSVILLE,UNIVERSITY OF TEXAS AT BROWNSVILLE
2820,Saint Francis College,New York,0.49203571677207947,0.0063777281902730465,0.06619293987751007,8.579876739531755e-4,2820,SAINT FRANCIS COLLEGE,SAINT FRANCIS COLLEGE
8611,"CUNY, Hostos Community College",New York,0.14185498654842377,0,0.06500647217035294,0,8611,"CUNY, HOSTOS COMMUNITY COLLEGE","CUNY, HOSTOS COMMUNITY COLLEGE"
2621,New Jersey Institute Of Technology,Newark,0.6379090547561646,0.010736406780779362,0.06467802822589874,0.0010885715018957853,2621,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY INSTITUTE OF TECHNOLOGY
1243,Mount St. Mary's College,Los Angeles,0.3007899522781372,0.007086803205311298,0.0638868659734726,0.0015052154194563627,1243,MOUNT ST. MARY'S COLLEGE,MOUNT ST. MARY'S COLLEGE
1343,Woodbury University,Los Angeles,0.340511679649353,4.210818588035181e-5,0.06364358961582184,7.870261470088735e-6,1343,WOODBURY UNIVERSITY,WOODBURY UNIVERSITY
1153,"California State University, Northridge",Los Angeles,0.31953251361846924,0.007200965192168951,0.06324859708547592,0.0014253664994612336,1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","CALIFORNIA STATE UNIVERSITY, NORTHRIDGE"
2691,CUNY Borough Of Manhattan Community College,New York,0.1751488596200943,0.0013941236538812518,0.061434078961610794,4.889937699772418e-4,2691,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE
9225,Texas State Technical College Harlingen,Brownsville,0.1421465128660202,0.004572629928588867,0.06142301484942436,0.0019758818671107292,9225,TEXAS STATE TECHNICAL COLLEGE HARLINGEN,TEXAS STATE TECHNICAL COLLEGE HARLINGEN
10051,CUNY Laguardia Community College,New York,0.16463689506053925,0,0.06055285036563873,0,10051,CUNY LAGUARDIA COMMUNITY COLLEGE,CUNY LAGUARDIA COMMUNITY COLLEGE
2597,Bloomfield College,Newark,0.22484524548053741,0.005498881917446852,0.06037379056215286,0.001476519275456667,2597,BLOOMFIELD COLLEGE,BLOOMFIELD COLLEGE
1316,"University Of California, Riverside",Los Angeles,0.410208135843277,0.006746105384081602,0.06017230078577995,9.895676048472524e-4,1316,"UNIVERSITY OF CALIFORNIA, RIVERSIDE","UNIVERSITY OF CALIFORNIA, RIVERSIDE"
2692,CUNY Bronx Community College,New York,0.14355650544166565,5.452111508930102e-5,0.05881898105144501,2.2338774215313606e-5,2692,CUNY BRONX COMMUNITY COLLEGE,CUNY BRONX COMMUNITY COLLEGE
212,College Of Mount Saint Vincent And Manhattan College,New York,0.6263895034790039,0.018693922087550163,0.057835597544908524,0.0017260413151234388,2703,COLLEGE OF MOUNT SAINT VINCENT,COLLEGE OF MOUNT SAINT VINCENT AND MANHATTAN COLLEGE
212,College Of Mount Saint Vincent And Manhattan College,New York,0.6263895034790039,0.018693922087550163,0.057835597544908524,0.0017260413151234388,2758,MANHATTAN COLLEGE,COLLEGE OF MOUNT SAINT VINCENT AND MANHATTAN COLLEGE
